characters,fa_length,fa_list
K18220,14,"['Bifidobacterium', 'T01461', 'T01954', 'T02133', 'T04182', 'T04453', 'T05095', 'T05143', 'T06523', 'T06584', 'T06719', 'T07941', 'T07943', 'T08666']"
K02257,5,"['Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'Staphylococcus', 'T02545']"
K01610,10,"['Bacteroidales', 'Campylobacter', 'Gammaproteobacteria', 'Lachnospiraceae', 'Staphylococcus', 'T01954', 'T04453', 'T05143', 'T06085', 'T08201']"
K04068,10,"['Bacillota', 'Bacteroidales', 'Bifidobacterium', 'Coriobacteriia', 'T00398', 'T01461', 'T02545', 'T03770', 'T05201', 'T08780']"
K00627,5,"['Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'Staphylococcus', 'T02545']"
K00241,8,"['Bacteroidales', 'Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'Staphylococcus', 'T02545', 'T06719', 'T08201']"
K01679,11,"['Bacilli', 'Burkholderiales', 'Micrococcales', 'Mycobacteriales', 'T00964', 'T01461', 'T02545', 'T04182', 'T06085', 'T06554', 'T08780']"
K13628,2,"['Pseudomonadota', 'Staphylococcus']"
K01669,7,"['Burkholderiales', 'Micrococcaceae', 'Staphylococcus', 'T02545', 'T06085', 'T06554', 'T06794']"
K03980,9,"['Actinomycetota', 'Campylobacterales', 'Pseudomonadota', 'T00964', 'T01461', 'T04453', 'T06584', 'T07941', 'T08201']"
K06886,5,"['Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'Staphylococcus', 'T02545']"
K07305,7,"['Bacilli', 'Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'T00964', 'T02545', 'T06584']"
K01589,12,"['Bacilli', 'Bifidobacterium', 'Burkholderiales', 'Mycobacteriales', 'T00447', 'T02133', 'T02545', 'T05201', 'T05843', 'T06085', 'T06554', 'T06584']"
K00561,2,"['T05843', 'T06523']"
K07483,21,"['Coriobacteriia', 'Pseudomonadota', 'T00122', 'T01461', 'T01485', 'T02133', 'T02545', 'T03496', 'T04115', 'T04182', 'T04222', 'T04453', 'T05095', 'T05843', 'T06523', 'T06584', 'T06719', 'T06794', 'T07267', 'T08069', 'T08201']"
K17836,12,"['Comamonadaceae', 'Lactobacillus', 'T00122', 'T00398', 'T00964', 'T02545', 'T04182', 'T05095', 'T06523', 'T06554', 'T06794', 'T07354']"
K02227,14,"['Dorea', 'Pseudomonadota', 'T01485', 'T02545', 'T04182', 'T04453', 'T05095', 'T05143', 'T06523', 'T06584', 'T06719', 'T06794', 'T07354', 'T08201']"
K18214,0,[]
K19310,2,"['T05095', 'T08069']"
K19115,1,['T00577']
K02274,4,"['Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'T02545']"
K03737,11,"['Bacteroidales', 'Campylobacter', 'Coriobacteriia', 'Dorea', 'T00964', 'T04182', 'T04453', 'T05095', 'T06584', 'T06719', 'T08201']"
K00850,6,"['Bacillota', 'Bacteroidales', 'T01461', 'T03770', 'T04453', 'T08201']"
