characters,fa_length,fa_list
K02257,5,"['Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'Staphylococcus', 'T02545']"
K02274,4,"['Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'T02545']"
K02259,5,"['Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'Staphylococcus', 'T02545']"
K02275,4,"['Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'T02545']"
K01772,9,"['Campylobacterales', 'Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'Staphylococcus', 'T00984', 'T01485', 'T02545', 'T08201']"
K00627,5,"['Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'Staphylococcus', 'T02545']"
K02276,4,"['Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'T02545']"
K01669,7,"['Burkholderiales', 'Micrococcaceae', 'Staphylococcus', 'T02545', 'T06085', 'T06554', 'T06794']"
K21636,9,"['Bacillota', 'Bacteroidales', 'Bifidobacterium', 'Campylobacter', 'Coriobacteriia', 'T00925', 'T01461', 'T03770', 'T04453']"
K03635,9,"['Campylobacterales', 'Pseudomonadota', 'Staphylococcus', 'T00447', 'T02545', 'T05201', 'T05843', 'T06794', 'T07267']"
K00164,2,"['Pseudomonadota', 'Staphylococcus']"
K04068,10,"['Bacillota', 'Bacteroidales', 'Bifidobacterium', 'Coriobacteriia', 'T00398', 'T01461', 'T02545', 'T03770', 'T05201', 'T08780']"
K01724,4,"['Pseudomonadota', 'T00447', 'T02545', 'T06794']"
K00162,4,"['Staphylococcus', 'T00925', 'T05201', 'T06085']"
K00161,4,"['Staphylococcus', 'T00925', 'T05201', 'T06085']"
K01011,7,"['Burkholderiales', 'Micrococcales', 'Mycobacteriales', 'T02545', 'T04453', 'T06085', 'T06554']"
K00135,12,"['Burkholderiales', 'Lactobacillus', 'Micrococcales', 'Mycobacteriales', 'T00577', 'T02505', 'T02545', 'T04222', 'T06085', 'T06252', 'T06554', 'T08780']"
K13628,2,"['Pseudomonadota', 'Staphylococcus']"
K01255,11,"['Campylobacterales', 'Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'Staphylococcus', 'T02545', 'T04182', 'T04453', 'T06584', 'T06719', 'T08201']"
K03636,7,"['Campylobacterales', 'Micrococcales', 'Pseudomonadota', 'Staphylococcus', 'T02545', 'T06794', 'T07267']"
K06886,5,"['Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'Staphylococcus', 'T02545']"
K08303,12,"['Bacteroidales', 'Bifidobacterium', 'Campylobacterales', 'Coriobacteriia', 'Eubacteriales', 'Staphylococcus', 'T00964', 'T01461', 'T03770', 'T04481', 'T06584', 'T08201']"
K02221,9,"['Actinomycetota', 'Bacilli', 'Burkholderiales', 'Campylobacterales', 'T01461', 'T06085', 'T06554', 'T06584', 'T08201']"
K07152,3,"['Pseudomonadota', 'T02545', 'T08201']"
