characters,fa_length,fa_list
K02257,3,"['Actinomycetes', 'Pseudomonadota', 'Staphylococcus']"
K02274,2,"['Actinomycetes', 'Pseudomonadota']"
K02259,3,"['Actinomycetes', 'Pseudomonadota', 'Staphylococcus']"
K02275,2,"['Actinomycetes', 'Pseudomonadota']"
K01772,7,"['Actinomycetota', 'Campylobacterales', 'Pseudomonadota', 'Staphylococcus', 'T00984', 'T01485', 'T08201']"
K00627,3,"['Actinomycetes', 'Pseudomonadota', 'Staphylococcus']"
K02276,2,"['Actinomycetes', 'Pseudomonadota']"
K01669,6,"['Micrococcaceae', 'Pseudomonadota', 'Staphylococcus', 'T02545', 'T06554', 'T06794']"
K21636,5,"['Bifidobacterium', 'Campylobacter', 'Coriobacteriia', 'T00925', 'T03770']"
K03635,5,"['Actinomycetes', 'Campylobacterales', 'Pseudomonadota', 'Staphylococcus', 'T07267']"
K00164,2,"['Pseudomonadota', 'Staphylococcus']"
K04068,6,"['Bifidobacterium', 'T00398', 'T02545', 'T03770', 'T05201', 'T08780']"
K01724,4,"['Pseudomonadota', 'T00447', 'T02545', 'T06794']"
K00162,4,"['Staphylococcus', 'T00925', 'T05201', 'T06085']"
K00161,4,"['Staphylococcus', 'T00925', 'T05201', 'T06085']"
K01011,4,"['Actinomycetes', 'Pseudomonadota', 'T04453', 'T06554']"
K00135,9,"['Actinomycetes', 'Bacilli', 'Campylobacterales', 'Pseudomonadota', 'T00577', 'T02505', 'T04222', 'T06252', 'T06554']"
K13628,2,"['Pseudomonadota', 'Staphylococcus']"
K01255,5,"['Actinomycetes', 'Staphylococcus', 'T04182', 'T06584', 'T06719']"
K03636,5,"['Actinomycetes', 'Campylobacterales', 'Pseudomonadota', 'Staphylococcus', 'T07267']"
K06886,3,"['Actinomycetes', 'Pseudomonadota', 'Staphylococcus']"
K08303,5,"['Bifidobacterium', 'Coriobacteriia', 'Staphylococcus', 'T03770', 'T04481']"
K02221,3,"['Bacilli', 'T06554', 'T06584']"
K07152,3,"['Pseudomonadota', 'T02545', 'T08201']"
K01589,6,"['Actinomycetes', 'Bacilli', 'Pseudomonadota', 'T02133', 'T06554', 'T06584']"
K17828,3,"['Bifidobacterium', 'Coriobacteriia', 'T00398']"
K00573,3,"['Campylobacterales', 'Pseudomonadota', 'T08201']"
K03980,3,"['T00964', 'T06584', 'T07941']"
K01419,5,"['Bacilli', 'Campylobacterales', 'Pseudomonadota', 'T01461', 'T08201']"
K03667,5,"['Bacilli', 'Campylobacterales', 'Pseudomonadota', 'T01461', 'T08201']"
K00632,4,"['Actinomycetes', 'Pseudomonadota', 'T04182', 'T06794']"
K01638,3,"['Actinomycetes', 'Pseudomonadota', 'T07354']"
K00262,4,"['Corynebacterium', 'Eubacteriales', 'T00577', 'T04481']"
K03820,4,"['Actinomycetes', 'T02133', 'T05843', 'T06554']"
K01493,2,"['Coriobacteriia', 'T04721']"
K03074,1,['Actinomycetes']
K02823,3,"['Bifidobacterium', 'Coriobacteriia', 'T00398']"
K00228,1,['Pseudomonadota']
K07133,8,"['Bacteroidales', 'Bifidobacterium', 'Campylobacterales', 'Eubacteriales', 'Lactobacillus', 'T01461', 'T05143', 'T08201']"
K06980,2,"['Actinomycetes', 'Pseudomonadota']"
K00254,5,"['Actinomycetes', 'Campylobacterales', 'Pseudomonadota', 'T00122', 'T02133']"
K03737,2,"['Campylobacter', 'Coriobacteriia']"
K03179,6,"['Campylobacterales', 'Pseudomonadota', 'T02133', 'T02545', 'T06584', 'T08201']"
K01903,6,"['Actinomycetes', 'Campylobacter', 'Pseudomonadota', 'Staphylococcus', 'T00122', 'T06794']"
K07146,4,"['Corynebacterium', 'Micrococcales', 'Pseudomonadota', 'Staphylococcus']"
K22132,5,"['Campylobacter', 'Coriobacteriia', 'Staphylococcus', 'T05843', 'T07354']"
K00332,4,"['Campylobacterales', 'Pseudomonadota', 'T02545', 'T06794']"
K00681,7,"['Actinomycetes', 'Pseudomonadota', 'Staphylococcus', 'T04182', 'T04453', 'T06794', 'T08780']"
K15034,5,"['Pseudomonadota', 'T00447', 'T01461', 'T02545', 'T07354']"
K14393,2,"['Actinomycetes', 'Pseudomonadota']"
K00333,4,"['Campylobacterales', 'Pseudomonadota', 'T02545', 'T06794']"
K03152,3,"['Campylobacter', 'Lactobacillus', 'T05143']"
K01880,5,"['Actinomycetes', 'Bacillota', 'Bacteroidales', 'Staphylococcus', 'T01461']"
K08296,4,"['Actinomycetes', 'Campylobacter', 'Pseudomonadota', 'T06794']"
K03072,1,['Actinomycetes']
K01902,6,"['Actinomycetes', 'Campylobacter', 'Pseudomonadota', 'Staphylococcus', 'T00122', 'T06794']"
K03816,6,"['Bacillota', 'Bacteroides', 'Bifidobacterium', 'Coriobacteriia', 'Gammaproteobacteria', 'T01461']"
K01878,3,"['Coriobacteriia', 'Lactobacillus', 'T00964']"
K07137,1,['Coriobacteriia']
K03615,3,"['T00984', 'T02505', 'T03770']"
K06999,3,"['Bifidobacterium', 'Micrococcaceae', 'Pseudomonadota']"
K06204,6,"['Bacteroidales', 'Campylobacter', 'Micrococcaceae', 'Pseudomonadota', 'T01461', 'T06523']"
K03617,2,"['T00984', 'T03770']"
K00610,6,"['Bacteroidales', 'Bifidobacterium', 'Lachnospiraceae', 'T00964', 'T01461', 'T03770']"
K00242,4,"['Actinomycetes', 'Pseudomonadota', 'T06794', 'T08201']"
K00989,6,"['Actinomycetota', 'Pseudomonadota', 'T04182', 'T04453', 'T05143', 'T06584']"
K01879,3,"['Coriobacteriia', 'Lactobacillus', 'T00964']"
K01920,1,['Pseudomonadota']
K00963,1,['T04182']
K03750,3,"['Staphylococcus', 'T06584', 'T08069']"
K00252,4,"['Actinomycetes', 'Pseudomonadota', 'T06554', 'T06794']"
K00658,3,"['Bacteroides', 'Pseudomonadota', 'Staphylococcus']"
K00121,3,"['Actinomycetes', 'Pseudomonadota', 'T06794']"
K06891,4,"['Actinomycetes', 'Campylobacter', 'Pseudomonadota', 'T06523']"
K00970,4,"['Actinomycetes', 'Bacteroidales', 'Pseudomonadota', 'T01461']"
K00982,2,"['Actinomycetes', 'Pseudomonadota']"
K05786,7,"['Actinomycetes', 'Campylobacter', 'Pseudomonadota', 'Staphylococcus', 'T04453', 'T04481', 'T08201']"
K00362,4,"['Micrococcaceae', 'Pseudomonadota', 'T04721', 'T06794']"
K03782,3,"['Pseudomonadota', 'T06554', 'T06794']"
K04759,7,"['Burkholderiaceae', 'Coriobacteriia', 'Corynebacterium', 'Staphylococcus', 'T01842', 'T02505', 'T03770']"
K01006,5,"['Coriobacteriia', 'Staphylococcus', 'T00398', 'T02545', 'T06085']"
K09791,4,"['Actinomycetes', 'Micrococcaceae', 'Pseudomonadota', 'T08201']"
K06916,4,"['Actinomycetes', 'Pseudomonadota', 'T06794', 'T08201']"
K03169,5,"['Staphylococcus', 'T00577', 'T00984', 'T03496', 'T05201']"
K00651,8,"['Bacteroides', 'Bifidobacterium', 'Coriobacteriia', 'Eubacteriales', 'T00964', 'T01461', 'T03770', 'T06085']"
K09157,8,"['Bifidobacterium', 'Coriobacteriia', 'Corynebacterium', 'Eubacteriales', 'T00964', 'T01461', 'T04115', 'T04453']"
K07390,1,['Pseudomonadota']
K01061,6,"['Burkholderiales', 'Micrococcaceae', 'T02545', 'T04115', 'T06554', 'T06794']"
K03976,2,"['Gammaproteobacteria', 'T00577']"
K00459,5,"['Actinomycetes', 'Lachnospiraceae', 'Staphylococcus', 'T06554', 'T06584']"
K00390,8,"['Actinomycetes', 'Micrococcaceae', 'Pseudomonadota', 'Staphylococcus', 'T01461', 'T02133', 'T04453', 'T08069']"
K01637,3,"['Actinomycetes', 'Pseudomonadota', 'T07354']"
K00568,1,['Pseudomonadota']
K03644,4,"['Actinomycetes', 'Bacteroidales', 'Pseudomonadota', 'Staphylococcus']"
K09001,4,"['Pseudomonadota', 'T04182', 'T04222', 'T06523']"
K07166,8,"['Bifidobacterium', 'Coriobacteriia', 'Corynebacterium', 'Eubacteriales', 'T00964', 'T01461', 'T04115', 'T04453']"
K00990,3,"['Actinomycetes', 'Pseudomonadota', 'T07267']"
K00163,2,"['Actinomycetes', 'Pseudomonadota']"
K06929,5,"['Comamonadaceae', 'Micrococcales', 'T00925', 'T02545', 'T06085']"
K00457,2,"['Pseudomonadota', 'T02545']"
K06193,7,"['Pseudomonadota', 'T00398', 'T04021', 'T04481', 'T05201', 'T06523', 'T06584']"
K02116,6,"['Pseudomonadota', 'Staphylococcus', 'T00701', 'T02545', 'T06584', 'T08201']"
K01029,6,"['Micrococcaceae', 'Mycobacteriales', 'Pseudomonadota', 'T03970', 'T06554', 'T08780']"
K14162,3,"['Actinomycetes', 'Pseudomonadota', 'T06554']"
K03752,10,"['Campylobacter', 'Mycobacteriales', 'Pseudomonadota', 'Staphylococcus', 'T04453', 'T05143', 'T05843', 'T06584', 'T07267', 'T08201']"
K01595,6,"['Actinomycetota', 'Lactobacillus', 'Micrococcaceae', 'Pseudomonadota', 'T07354', 'T08780']"
K08973,4,"['Campylobacterales', 'Pseudomonadota', 'T00577', 'T06554']"
K03117,6,"['Actinomycetota', 'Campylobacterales', 'Micrococcaceae', 'Pseudomonadota', 'T05143', 'T08201']"
K07139,5,"['Bacillota', 'Bacteroidales', 'Lachnospiraceae', 'Staphylococcus', 'T01461']"
K00363,4,"['Micrococcaceae', 'Pseudomonadota', 'T04721', 'T06794']"
K09773,5,"['Bacilli', 'Coriobacteriia', 'Micrococcaceae', 'Pseudomonadota', 'T00964']"
K04041,4,"['Bacillota', 'Bacteroidales', 'Coriobacteriia', 'Staphylococcus']"
K01640,6,"['Pseudomonadota', 'T00447', 'T02545', 'T04182', 'T04453', 'T06794']"
K00940,2,"['Bacteroides', 'Staphylococcus']"
K03613,2,"['T00984', 'T03770']"
K02303,4,"['Micrococcaceae', 'Pseudomonadota', 'Staphylococcus', 'T07267']"
K00241,6,"['Actinomycetes', 'Bacteroidales', 'Pseudomonadota', 'Staphylococcus', 'T06719', 'T08201']"
K02415,5,"['Pseudomonadota', 'T01461', 'T04721', 'T08201', 'T08780']"
K04755,3,"['Pseudomonadota', 'T00701', 'T06719']"
K00275,4,"['Bacteroidales', 'Pseudomonadota', 'T02545', 'T06794']"
K07516,1,['Pseudomonadota']
K00019,7,"['Micrococcaceae', 'Pseudomonadota', 'T02545', 'T03970', 'T06554', 'T06794', 'T08780']"
K09767,4,"['Actinomycetota', 'Pseudomonadota', 'T06794', 'T08201']"
K02535,4,"['Campylobacterales', 'Pseudomonadota', 'T04453', 'T08201']"
K03801,3,"['Actinomycetes', 'Bacteroidales', 'Pseudomonadota']"
K00705,4,"['Eubacteriales', 'T00701', 'T00964', 'T05143']"
K03089,1,['Pseudomonadota']
K11473,3,"['Campylobacter', 'Pseudomonadota', 'T06554']"
K09780,6,"['Micrococcaceae', 'T00398', 'T02545', 'T06085', 'T06554', 'T07267']"
K02427,3,"['Pseudomonadota', 'T01461', 'T08201']"
K02446,4,"['Actinomycetes', 'T03770', 'T04453', 'T06584']"
K04764,2,"['Pseudomonadota', 'T08201']"
K05788,3,"['Pseudomonadota', 'T05201', 'T08201']"
K06871,6,"['Bacillota', 'Lachnospiraceae', 'T01461', 'T02545', 'T06085', 'T06523']"
K03666,3,"['Pseudomonadota', 'Staphylococcus', 'T04182']"
K02394,3,"['Pseudomonadota', 'T08201', 'T08780']"
K03340,5,"['Bacteroidales', 'Lachnospiraceae', 'T00984', 'T07354', 'T08201']"
