characters,fa_length,fa_list
K02257,0,[]
K02274,0,[]
K02259,0,[]
K02275,0,[]
K01772,0,[]
K00627,0,[]
K02276,0,[]
K01669,0,[]
K21636,0,[]
K03635,0,[]
K00164,0,[]
K04068,0,[]
K01724,0,[]
K00162,0,[]
K00161,0,[]
K01011,0,[]
K00135,0,[]
K13628,0,[]
K01255,0,[]
K03636,0,[]
K06886,0,[]
K08303,0,[]
K02221,0,[]
K07152,0,[]
K01589,0,[]
K17828,0,[]
K00573,0,[]
K03980,0,[]
K01419,0,[]
K03667,0,[]
K00632,0,[]
K01638,0,[]
K00262,0,[]
K03820,0,[]
K01493,0,[]
K03074,0,[]
K02823,0,[]
K00228,0,[]
K07133,0,[]
K06980,0,[]
K00254,0,[]
K03737,0,[]
K03179,0,[]
K01903,0,[]
K07146,0,[]
K22132,0,[]
K00332,0,[]
K00681,0,[]
K15034,0,[]
K14393,0,[]
K00333,0,[]
K03152,0,[]
K01880,0,[]
K08296,0,[]
K03072,0,[]
K01902,0,[]
K03816,0,[]
K01878,0,[]
K07137,0,[]
K03615,0,[]
K06999,0,[]
K06204,0,[]
K03617,0,[]
K00610,0,[]
K00242,0,[]
K00989,0,[]
K01879,0,[]
K01920,0,[]
K00963,0,[]
K03750,0,[]
K00252,0,[]
K00658,0,[]
K00121,0,[]
K06891,0,[]
K00970,0,[]
K00982,0,[]
K05786,0,[]
K00362,0,[]
K03782,0,[]
K04759,0,[]
K01006,0,[]
K09791,0,[]
K06916,0,[]
K03169,0,[]
K00651,0,[]
K09157,0,[]
K07390,0,[]
K01061,0,[]
K03976,0,[]
K00459,0,[]
K00390,0,[]
K01637,0,[]
K00568,0,[]
K03644,0,[]
K09001,0,[]
K07166,0,[]
K00990,0,[]
K00163,0,[]
K06929,0,[]
K00457,0,[]
K06193,0,[]
K02116,0,[]
K01029,0,[]
K14162,0,[]
K03752,0,[]
K01595,0,[]
K08973,0,[]
K03117,0,[]
K07139,0,[]
K00363,0,[]
K09773,0,[]
K04041,0,[]
K01640,0,[]
K00940,0,[]
K03613,0,[]
K02303,0,[]
K00241,0,[]
K02415,0,[]
K04755,0,[]
K00275,0,[]
K07516,0,[]
K00019,0,[]
K09767,0,[]
K02535,0,[]
K03801,0,[]
K00705,0,[]
K03089,0,[]
K11473,0,[]
K09780,0,[]
K02427,0,[]
K02446,0,[]
K04764,0,[]
K05788,0,[]
K06871,0,[]
K03666,0,[]
K02394,0,[]
K03340,0,[]
K00641,0,[]
K03593,0,[]
K00656,0,[]
K00381,0,[]
K00048,0,[]
K01692,0,[]
K03562,0,[]
K03652,0,[]
K03560,0,[]
K07399,0,[]
K03641,0,[]
K00799,0,[]
K01679,0,[]
K03324,0,[]
K07456,0,[]
K01556,0,[]
K03183,0,[]
K01938,0,[]
K16363,0,[]
K03316,0,[]
K03308,0,[]
K08300,0,[]
K05520,0,[]
K03116,0,[]
K18707,0,[]
K00850,0,[]
K04069,0,[]
K08972,0,[]
K08311,0,[]
K00684,0,[]
K00943,0,[]
K10764,0,[]
K06195,0,[]
K00140,0,[]
K07113,0,[]
K00020,0,[]
K02825,0,[]
K10804,0,[]
K00208,0,[]
K01572,0,[]
K07723,0,[]
K03118,0,[]
K03579,0,[]
