characters,fa_length,fa_list
K02257,0,[]
K02274,0,[]
K02259,0,[]
K02275,0,[]
K01772,0,[]
K00627,0,[]
K02276,0,[]
K01669,0,[]
K21636,0,[]
K03635,0,[]
K00164,0,[]
K04068,0,[]
K01724,0,[]
K00162,0,[]
K00161,0,[]
K01011,0,[]
K00135,0,[]
K13628,0,[]
K01255,0,[]
K03636,0,[]
K06886,0,[]
K08303,0,[]
K02221,0,[]
K07152,0,[]
K01589,0,[]
K17828,0,[]
K00573,0,[]
K03980,0,[]
K01419,0,[]
K03667,0,[]
K00632,0,[]
K01638,0,[]
K00262,0,[]
K03820,0,[]
K01493,0,[]
K03074,0,[]
K02823,0,[]
K00228,0,[]
K07133,0,[]
K06980,0,[]
K00254,0,[]
K03737,0,[]
K03179,0,[]
K01903,0,[]
K07146,0,[]
