a,b,weight
Actinomycetes,Pseudomonadota,43
Actinomycetes,Staphylococcus,18
Pseudomonadota,Staphylococcus,25
Actinomycetota,Campylobacterales,1
Actinomycetota,Pseudomonadota,5
Actinomycetota,T08201,3
Campylobacterales,Pseudomonadota,16
Campylobacterales,Staphylococcus,3
Campylobacterales,T08201,7
Pseudomonadota,T08201,21
Staphylococcus,T00984,3
Staphylococcus,T08201,5
T00984,T08201,1
Micrococcaceae,Pseudomonadota,14
Micrococcaceae,Staphylococcus,2
Micrococcaceae,T02545,3
Micrococcaceae,T06554,5
Micrococcaceae,T06794,5
Pseudomonadota,T02545,13
Pseudomonadota,T06554,14
Pseudomonadota,T06794,21
Staphylococcus,T02545,2
Staphylococcus,T06554,2
Staphylococcus,T06794,3
T02545,T06554,3
T02545,T06794,7
T06554,T06794,6
Bifidobacterium,Campylobacter,1
Bifidobacterium,Coriobacteriia,9
Bifidobacterium,T03770,6
Campylobacter,Coriobacteriia,3
Campylobacter,T03770,1
Coriobacteriia,T03770,4
Actinomycetes,Campylobacterales,4
Actinomycetes,T07267,2
Campylobacterales,T07267,1
Pseudomonadota,T07267,5
Staphylococcus,T07267,3
Bifidobacterium,T00398,2
T00398,T02545,2
T00398,T05201,1
T02545,T08780,1
Pseudomonadota,T00447,3
T00447,T02545,2
T00447,T06794,1
Staphylococcus,T00925,1
Staphylococcus,T05201,2
Staphylococcus,T06085,3
T00925,T05201,1
T00925,T06085,2
T05201,T06085,1
Actinomycetes,T04453,6
Actinomycetes,T06554,11
Pseudomonadota,T04453,11
T04453,T06554,3
Actinomycetes,Bacilli,2
Actinomycetes,T02505,1
Actinomycetes,T04222,1
Bacilli,Campylobacterales,2
Bacilli,Pseudomonadota,5
Bacilli,T02505,1
Bacilli,T04222,1
Bacilli,T06554,5
Campylobacterales,T00577,1
Campylobacterales,T06554,1
Pseudomonadota,T00577,1
Pseudomonadota,T04222,1
T00577,T06554,2
T02505,T04222,1
T02505,T06554,1
T04222,T06554,1
Actinomycetes,T04182,5
Actinomycetes,T06584,4
Actinomycetes,T06719,1
Staphylococcus,T04182,3
Staphylococcus,T06584,5
Staphylococcus,T06719,1
