labeling method,penalization type,transfer_threshold,tp,tn,fp,fn,accuracy,precision,recall,F1
sankoff,equal,5,30,1041,894,15,0.5409090909090909,0.032467532467532464,0.6666666666666666,0.03095975232198142
sankoff,equal,9,25,1538,397,20,0.7893939393939394,0.05924170616113744,0.5555555555555556,0.05353319057815847
sankoff,equal,18,25,1672,263,20,0.8570707070707071,0.08680555555555555,0.5555555555555556,0.07507507507507506
sankoff,equal,27,21,1764,171,24,0.9015151515151515,0.109375,0.4666666666666667,0.08860759493670886
sankoff,equal,36,21,1764,171,24,0.9015151515151515,0.109375,0.4666666666666667,0.08860759493670886
sankoff,equal,45,0,1935,0,45,0.9772727272727273,,0.0,
sankoff,hgt_half,5,45,10,1925,0,0.027777777777777776,0.02284263959390863,1.0,0.022332506203473948
sankoff,hgt_half,9,45,128,1807,0,0.08737373737373737,0.02429805615550756,1.0,0.023721665788086453
sankoff,hgt_half,18,35,644,1291,10,0.3429292929292929,0.026395173453996983,0.7777777777777778,0.025528811086797956
sankoff,hgt_half,27,31,1290,645,14,0.6671717171717172,0.04585798816568047,0.6888888888888889,0.04299583911234397
sankoff,hgt_half,36,22,1553,382,23,0.7954545454545454,0.054455445544554455,0.4888888888888889,0.0489977728285078
sankoff,hgt_half,45,20,1659,276,25,0.847979797979798,0.06756756756756757,0.4444444444444444,0.05865102639296188
sankoff,hgt_quarter,5,45,10,1925,0,0.027777777777777776,0.02284263959390863,1.0,0.022332506203473948
sankoff,hgt_quarter,9,45,128,1807,0,0.08737373737373737,0.02429805615550756,1.0,0.023721665788086453
sankoff,hgt_quarter,18,35,644,1291,10,0.3429292929292929,0.026395173453996983,0.7777777777777778,0.025528811086797956
sankoff,hgt_quarter,27,31,1290,645,14,0.6671717171717172,0.04585798816568047,0.6888888888888889,0.04299583911234397
sankoff,hgt_quarter,36,22,1553,382,23,0.7954545454545454,0.054455445544554455,0.4888888888888889,0.0489977728285078
sankoff,hgt_quarter,45,20,1659,276,25,0.847979797979798,0.06756756756756757,0.4444444444444444,0.05865102639296188
genesis,equal,5,40,645,1290,5,0.34595959595959597,0.03007518796992481,0.8888888888888888,0.02909090909090909
genesis,equal,9,30,1349,586,15,0.6964646464646465,0.048701298701298704,0.6666666666666666,0.0453857791225416
genesis,equal,18,21,1620,315,24,0.8287878787878787,0.0625,0.4666666666666667,0.05511811023622047
genesis,equal,27,21,1668,267,24,0.853030303030303,0.07291666666666667,0.4666666666666667,0.06306306306306307
genesis,equal,36,21,1732,203,24,0.8853535353535353,0.09375,0.4666666666666667,0.07806691449814125
genesis,equal,45,21,1732,203,24,0.8853535353535353,0.09375,0.4666666666666667,0.07806691449814125
genesis,hgt_half,5,36,686,1249,9,0.36464646464646466,0.02801556420233463,0.8,0.02706766917293233
genesis,hgt_half,9,30,1186,749,15,0.6141414141414141,0.038510911424903725,0.6666666666666666,0.03640776699029127
genesis,hgt_half,18,23,1642,293,22,0.8409090909090909,0.07278481012658228,0.5111111111111111,0.06371191135734072
genesis,hgt_half,27,23,1718,217,22,0.8792929292929293,0.09583333333333334,0.5111111111111111,0.08070175438596491
genesis,hgt_half,36,0,1935,0,45,0.9772727272727273,,0.0,
genesis,hgt_half,45,0,1935,0,45,0.9772727272727273,,0.0,
genesis,hgt_quarter,5,37,659,1276,8,0.3515151515151515,0.02817974105102818,0.8222222222222222,0.027245949926362294
genesis,hgt_quarter,9,31,1188,747,14,0.6156565656565657,0.03984575835475578,0.6888888888888889,0.037667071688942885
genesis,hgt_quarter,18,24,1611,324,21,0.8257575757575758,0.06896551724137931,0.5333333333333333,0.061068702290076333
genesis,hgt_quarter,27,20,1785,150,25,0.9116161616161617,0.11764705882352941,0.4444444444444444,0.09302325581395347
genesis,hgt_quarter,36,3,1908,27,42,0.9651515151515152,0.1,0.06666666666666667,0.04
genesis,hgt_quarter,45,0,1935,0,45,0.9772727272727273,,0.0,
fitch,nope,5,38,647,1288,7,0.34595959595959597,0.02865761689291101,0.8444444444444444,0.027716994894237783
fitch,nope,9,33,1148,787,12,0.5964646464646465,0.04024390243902439,0.7333333333333333,0.03815028901734104
fitch,nope,18,26,1583,352,19,0.8126262626262626,0.06878306878306878,0.5777777777777777,0.061465721040189124
fitch,nope,27,20,1785,150,25,0.9116161616161617,0.11764705882352941,0.4444444444444444,0.09302325581395347
fitch,nope,36,3,1908,27,42,0.9651515151515152,0.1,0.06666666666666667,0.04
fitch,nope,45,3,1914,21,42,0.9681818181818181,0.125,0.06666666666666667,0.04347826086956522
