a,b,weight
Actinomycetota,Pseudomonadota,25
Actinomycetota,Staphylococcus,9
Pseudomonadota,Staphylococcus,15
Actinomycetes,Pseudomonadota,23
Bifidobacterium,Burkholderiaceae,2
Burkholderiaceae,Gammaproteobacteria,1
Actinomycetota,Campylobacterales,2
Campylobacterales,Pseudomonadota,7
Campylobacterales,Staphylococcus,1
Mycobacteriales,Pseudomonadota,5
Mycobacteriales,T00447,1
Mycobacteriales,T02545,1
Pseudomonadota,T00447,1
Pseudomonadota,T02545,7
T00447,T02545,1
Bacilli,Micrococcaceae,1
Bacilli,T00925,1
Bacilli,T06085,1
Micrococcaceae,T00925,1
Micrococcaceae,T06085,1
T00925,T06085,1
Actinomycetes,T04453,1
Pseudomonadota,T04453,3
Actinomycetota,Bacilli,6
Bacilli,Pseudomonadota,7
Pseudomonadota,T08201,10
T02545,T08201,1
Actinomycetota,Bacillota,3
Actinomycetota,Bacteroidales,2
Bacillota,Bacteroidales,3
Bacillota,Pseudomonadota,2
Bacteroidales,Pseudomonadota,4
Actinomycetota,T04182,1
Pseudomonadota,T04182,3
T02545,T06584,1
Actinomycetota,Bacteroides,2
Actinomycetota,Campylobacter,3
Bacilli,Bacteroides,1
Bacilli,Campylobacter,1
Bacteroides,Campylobacter,2
Bacteroides,Pseudomonadota,5
Campylobacter,Pseudomonadota,5
Micrococcales,Mycobacteriales,1
Campylobacterales,T02545,1
Campylobacterales,T06794,1
Pseudomonadota,T06794,3
T02545,T06794,2
Pseudomonadota,T01461,1
T01461,T02545,1
Micrococcaceae,Pseudomonadota,8
Bacillota,T01461,2
Bacteroidales,T01461,1
Actinomycetes,T08201,2
Bacteroidales,Staphylococcus,1
Micrococcaceae,Mycobacteriales,2
Bacteroides,Micrococcaceae,1
Bacteroides,T04021,1
Micrococcaceae,T06584,1
Pseudomonadota,T04021,1
Pseudomonadota,T06584,1
Actinomycetota,T08780,2
Bacilli,T08780,2
Pseudomonadota,T08780,3
Micrococcales,Pseudomonadota,1
Actinomycetota,T04453,1
Actinomycetota,T08201,3
Actinomycetota,Burkholderiales,1
Actinomycetota,T00964,1
