a,b,weight
Actinomycetota,Bacilli,10
Actinomycetota,Pseudomonadota,42
Bacilli,Pseudomonadota,17
Bifidobacterium,Burkholderiaceae,2
Bifidobacterium,Gammaproteobacteria,1
Burkholderiaceae,Gammaproteobacteria,1
Burkholderiaceae,Micrococcaceae,2
Actinomycetota,Micrococcaceae,1
Micrococcaceae,Pseudomonadota,7
Bacilli,Burkholderiaceae,1
Bacilli,Micrococcaceae,1
Burkholderiaceae,Pseudomonadota,3
Pseudomonadota,T02545,2
Pseudomonadota,T08201,3
Actinomycetota,Eubacteriales,2
Eubacteriales,Pseudomonadota,2
Actinomycetota,Bacteroides,2
Actinomycetota,Campylobacterales,7
Bacilli,Bacteroides,1
Bacilli,Campylobacterales,3
Bacteroides,Campylobacterales,4
Bacteroides,Pseudomonadota,6
Campylobacterales,Pseudomonadota,13
Micrococcales,Mycobacteriales,1
Actinomycetes,Pseudomonadota,3
Pseudomonadota,T01461,1
Bacteroidales,Pseudomonadota,1
Mycobacteriales,Pseudomonadota,1
Bacteroides,Micrococcaceae,1
Actinomycetota,T04453,1
Pseudomonadota,T04453,1
Micrococcales,Pseudomonadota,1
Actinomycetota,Bacteroidales,1
Bacillota,Pseudomonadota,4
Actinomycetota,T08201,1
Actinomycetota,Bacillota,1
