a,b,weight
Actinomycetes,Pseudomonadota,34
Actinomycetes,Staphylococcus,16
Pseudomonadota,Staphylococcus,31
Actinomycetota,Campylobacterales,5
Actinomycetota,Pseudomonadota,8
Actinomycetota,Staphylococcus,3
Actinomycetota,T00984,1
Actinomycetota,T08201,8
Campylobacterales,Pseudomonadota,24
Campylobacterales,Staphylococcus,10
Campylobacterales,T00984,2
Campylobacterales,T08201,19
Pseudomonadota,T00984,1
Pseudomonadota,T08201,31
Staphylococcus,T00984,3
Staphylococcus,T08201,11
T00984,T08201,6
Micrococcaceae,Pseudomonadota,9
Micrococcaceae,Staphylococcus,2
Micrococcaceae,T02545,5
Micrococcaceae,T06554,5
Micrococcaceae,T06794,5
Pseudomonadota,T02545,21
Pseudomonadota,T06554,16
Pseudomonadota,T06794,16
Staphylococcus,T02545,4
Staphylococcus,T06554,2
Staphylococcus,T06794,3
T02545,T06554,6
T02545,T06794,17
T06554,T06794,6
Bacillota,Bacteroidales,17
Bacillota,Bifidobacterium,6
Bacillota,Campylobacter,1
Bacillota,Coriobacteriia,11
Bacillota,T01461,16
Bacillota,T03770,6
Bacillota,T04453,14
Bacteroidales,Bifidobacterium,9
Bacteroidales,Campylobacter,6
Bacteroidales,Coriobacteriia,13
Bacteroidales,T01461,28
Bacteroidales,T03770,9
Bacteroidales,T04453,18
Bifidobacterium,Campylobacter,1
Bifidobacterium,Coriobacteriia,10
Bifidobacterium,T01461,14
Bifidobacterium,T03770,6
Bifidobacterium,T04453,8
Campylobacter,Coriobacteriia,3
Campylobacter,T01461,4
Campylobacter,T03770,1
Campylobacter,T04453,5
Coriobacteriia,T01461,15
Coriobacteriia,T03770,5
Coriobacteriia,T04453,13
T01461,T03770,10
T01461,T04453,24
T03770,T04453,7
Actinomycetes,Campylobacterales,7
Actinomycetes,T07267,1
Campylobacterales,T07267,1
Pseudomonadota,T07267,5
Staphylococcus,T07267,3
Bacillota,T00398,2
Bacteroidales,T00398,3
Bacteroidales,T02545,2
Bacteroidales,T08780,1
Bifidobacterium,T00398,2
Bifidobacterium,T02545,1
Coriobacteriia,T00398,3
Coriobacteriia,T02545,1
T00398,T01461,3
T00398,T02545,2
T00398,T05201,1
T01461,T02545,5
T01461,T08780,3
T02545,T05201,1
T02545,T08780,2
Pseudomonadota,T00447,4
T00447,T02545,3
T00447,T06794,1
Staphylococcus,T00925,1
Staphylococcus,T05201,2
Staphylococcus,T06085,3
T00925,T05201,1
T00925,T06085,2
T05201,T06085,1
Actinomycetes,T04453,7
Actinomycetes,T06554,8
Pseudomonadota,T04453,19
T04453,T06554,5
Actinomycetes,Bacilli,3
Actinomycetes,T02505,1
Actinomycetes,T04222,1
Actinomycetes,T08780,1
Bacilli,Pseudomonadota,7
Bacilli,T02505,1
Bacilli,T04222,1
Bacilli,T06554,6
Bacilli,T08780,1
Pseudomonadota,T00577,1
Pseudomonadota,T04222,1
Pseudomonadota,T08780,8
T00577,T06554,2
T00577,T08780,2
T02505,T04222,1
T02505,T06554,1
T04222,T06554,1
T06554,T08780,4
Actinomycetes,T04182,3
Actinomycetes,T06584,5
Actinomycetes,T06719,1
Actinomycetes,T08201,7
Campylobacterales,T04182,1
Campylobacterales,T04453,10
Campylobacterales,T06584,6
Pseudomonadota,T04182,8
Pseudomonadota,T06584,13
Pseudomonadota,T06719,3
Staphylococcus,T04182,3
Staphylococcus,T04453,10
Staphylococcus,T06584,8
Staphylococcus,T06719,1
T04182,T04453,5
T04182,T06584,2
T04182,T08201,3
T04453,T06584,11
T04453,T06719,1
T04453,T08201,21
T06584,T06719,1
T06584,T08201,7
T06719,T08201,1
Bacillota,Campylobacterales,1
Bacillota,Staphylococcus,3
Bacillota,T08201,10
Bacteroidales,Campylobacterales,4
Bacteroidales,Staphylococcus,11
Bacteroidales,T04481,1
Bacteroidales,T08201,17
Bifidobacterium,Campylobacterales,1
Bifidobacterium,T08201,3
Campylobacterales,Coriobacteriia,2
Campylobacterales,T01461,10
Coriobacteriia,Staphylococcus,5
Coriobacteriia,T08201,7
Staphylococcus,T01461,8
Staphylococcus,T03770,1
Staphylococcus,T04481,1
T01461,T04481,1
T01461,T08201,21
T03770,T08201,4
T04481,T08201,2
Actinomycetota,Bacilli,2
Actinomycetota,T01461,4
Actinomycetota,T06554,1
Actinomycetota,T06584,6
Bacilli,Campylobacterales,3
Bacilli,T01461,3
Bacilli,T06584,3
Bacilli,T08201,6
Campylobacterales,T06554,2
Pseudomonadota,T01461,15
T01461,T06554,3
