characters,fa_length,fa_list
K22132,28,"['T00122', 'T00398', 'T00577', 'T00925', 'T00984', 'T01461', 'T01485', 'T02133', 'T03770', 'T03970', 'T04021', 'T04182', 'T04481', 'T04721', 'T05095', 'T05143', 'T05738', 'T05843', 'T06252', 'T06523', 'T06554', 'T06584', 'T06719', 'T07354', 'T07941', 'T07943', 'T08069', 'T08666']"
K00332,11,"['T00398', 'T00577', 'T00925', 'T02545', 'T04021', 'T04481', 'T04721', 'T05738', 'T06085', 'T06794', 'T08780']"
K00681,18,"['T00398', 'T00447', 'T00925', 'T02545', 'T03770', 'T03970', 'T04182', 'T04453', 'T04481', 'T04721', 'T05201', 'T05738', 'T05843', 'T06085', 'T06252', 'T06554', 'T06794', 'T08780']"
K15034,12,"['T00398', 'T00447', 'T00925', 'T01461', 'T02545', 'T03770', 'T04481', 'T04721', 'T05738', 'T06085', 'T06554', 'T07354']"
K14393,16,"['T00398', 'T00447', 'T00701', 'T00925', 'T02545', 'T03770', 'T04481', 'T04721', 'T05201', 'T05738', 'T05843', 'T06085', 'T06554', 'T06794', 'T07267', 'T07354']"
K00333,11,"['T00398', 'T00577', 'T00925', 'T02545', 'T04021', 'T04481', 'T04721', 'T05738', 'T06085', 'T06794', 'T08780']"
K03152,18,"['T00122', 'T00577', 'T00964', 'T01461', 'T01485', 'T01954', 'T04021', 'T04115', 'T04182', 'T05095', 'T05143', 'T06523', 'T06719', 'T07941', 'T07943', 'T08069', 'T08201', 'T08666']"
K01880,27,"['T00122', 'T00447', 'T00701', 'T01461', 'T01485', 'T01842', 'T02133', 'T02505', 'T02545', 'T03496', 'T03970', 'T04182', 'T04222', 'T05095', 'T05201', 'T05843', 'T06252', 'T06523', 'T06584', 'T06719', 'T06794', 'T07267', 'T07354', 'T07941', 'T07943', 'T08069', 'T08666']"
K08296,20,"['T00398', 'T00447', 'T00577', 'T00701', 'T00925', 'T01842', 'T02505', 'T02545', 'T03496', 'T03770', 'T04021', 'T04222', 'T04481', 'T04721', 'T05201', 'T05738', 'T05843', 'T06085', 'T06554', 'T06794']"
K03072,22,"['T00398', 'T00447', 'T00577', 'T00701', 'T00925', 'T01461', 'T02545', 'T03770', 'T04021', 'T04453', 'T04481', 'T04721', 'T05201', 'T05738', 'T05843', 'T06085', 'T06554', 'T06794', 'T07267', 'T07354', 'T08201', 'T08780']"
K01902,23,"['T00122', 'T00398', 'T00447', 'T00577', 'T00701', 'T00925', 'T01842', 'T02505', 'T02545', 'T03496', 'T03770', 'T03970', 'T04021', 'T04222', 'T04481', 'T04721', 'T05201', 'T05738', 'T05843', 'T06085', 'T06252', 'T06554', 'T06794']"
K03816,22,"['T00122', 'T00964', 'T00984', 'T01461', 'T01954', 'T02505', 'T03496', 'T03770', 'T03970', 'T04115', 'T04182', 'T04222', 'T05095', 'T05143', 'T06252', 'T06554', 'T06584', 'T06719', 'T07941', 'T07943', 'T08069', 'T08666']"
K01878,18,"['T00398', 'T00577', 'T00925', 'T00964', 'T00984', 'T01954', 'T03770', 'T04021', 'T04115', 'T04453', 'T04481', 'T04721', 'T05143', 'T05738', 'T06085', 'T06554', 'T08201', 'T08780']"
K07137,22,"['T00122', 'T00398', 'T00964', 'T00984', 'T01461', 'T02133', 'T03770', 'T04182', 'T04453', 'T04481', 'T04721', 'T05095', 'T05143', 'T05738', 'T06523', 'T06554', 'T06584', 'T06719', 'T07941', 'T07943', 'T08069', 'T08666']"
K03615,19,"['T00122', 'T00964', 'T00984', 'T01461', 'T01485', 'T02133', 'T02505', 'T03770', 'T04182', 'T04453', 'T05095', 'T06523', 'T06584', 'T06719', 'T07941', 'T07943', 'T08069', 'T08201', 'T08666']"
K06999,14,"['T00398', 'T00447', 'T00701', 'T01842', 'T02505', 'T03496', 'T03770', 'T04222', 'T04481', 'T04721', 'T05201', 'T05738', 'T06085', 'T06554']"
K06204,16,"['T00398', 'T00447', 'T00577', 'T00925', 'T01461', 'T01485', 'T02133', 'T03770', 'T04021', 'T04481', 'T04721', 'T05201', 'T05738', 'T06085', 'T06523', 'T06554']"
K03617,18,"['T00122', 'T00964', 'T00984', 'T01461', 'T01485', 'T02133', 'T03770', 'T04182', 'T04453', 'T05095', 'T06523', 'T06584', 'T06719', 'T07941', 'T07943', 'T08069', 'T08201', 'T08666']"
K00610,16,"['T00122', 'T00964', 'T01461', 'T01485', 'T01842', 'T02505', 'T03496', 'T03770', 'T04222', 'T05095', 'T06523', 'T06719', 'T07941', 'T07943', 'T08069', 'T08666']"
K00242,15,"['T00398', 'T00447', 'T00701', 'T00925', 'T02545', 'T03770', 'T04481', 'T04721', 'T05201', 'T05738', 'T05843', 'T06085', 'T06554', 'T06794', 'T08201']"
K00989,24,"['T00398', 'T00447', 'T00701', 'T00925', 'T01842', 'T02505', 'T02545', 'T03496', 'T03770', 'T04182', 'T04222', 'T04453', 'T04481', 'T04721', 'T05143', 'T05201', 'T05738', 'T05843', 'T06085', 'T06554', 'T06584', 'T06794', 'T07267', 'T07354']"
K01879,18,"['T00398', 'T00577', 'T00925', 'T00964', 'T00984', 'T01954', 'T03770', 'T04021', 'T04115', 'T04453', 'T04481', 'T04721', 'T05143', 'T05738', 'T06085', 'T06554', 'T08201', 'T08780']"
K01920,8,"['T00398', 'T00925', 'T03770', 'T04481', 'T04721', 'T05738', 'T06085', 'T06554']"
K00963,33,"['T00398', 'T00447', 'T00577', 'T00701', 'T00925', 'T00984', 'T01842', 'T01954', 'T02505', 'T02545', 'T03496', 'T03770', 'T03970', 'T04021', 'T04115', 'T04182', 'T04222', 'T04453', 'T04481', 'T04721', 'T05143', 'T05201', 'T05738', 'T05843', 'T06085', 'T06252', 'T06554', 'T06584', 'T06794', 'T07267', 'T07354', 'T08201', 'T08780']"
K03750,27,"['T00398', 'T00447', 'T00577', 'T00701', 'T00925', 'T00984', 'T02545', 'T03770', 'T03970', 'T04021', 'T04453', 'T04481', 'T04721', 'T05143', 'T05201', 'T05738', 'T05843', 'T06085', 'T06252', 'T06554', 'T06584', 'T06794', 'T07267', 'T07354', 'T08069', 'T08201', 'T08780']"
K00252,13,"['T00398', 'T00447', 'T00701', 'T00925', 'T02545', 'T04481', 'T04721', 'T05201', 'T05738', 'T05843', 'T06085', 'T06554', 'T06794']"
K00658,12,"['T00122', 'T00398', 'T00925', 'T03770', 'T03970', 'T04481', 'T04721', 'T05738', 'T06085', 'T06252', 'T06554', 'T07941']"
K00121,13,"['T00398', 'T00447', 'T00925', 'T02545', 'T03770', 'T04481', 'T04721', 'T05201', 'T05738', 'T05843', 'T06085', 'T06554', 'T06794']"
K06891,19,"['T00398', 'T00447', 'T00577', 'T00701', 'T00925', 'T02545', 'T03770', 'T04021', 'T04481', 'T04721', 'T05201', 'T05738', 'T05843', 'T06085', 'T06523', 'T06554', 'T06794', 'T07267', 'T07354']"
K00970,26,"['T00122', 'T00398', 'T00447', 'T00701', 'T00925', 'T01461', 'T01485', 'T01842', 'T02133', 'T02505', 'T02545', 'T03496', 'T03770', 'T04222', 'T04481', 'T04721', 'T05201', 'T05738', 'T05843', 'T06085', 'T06523', 'T06554', 'T06794', 'T07267', 'T07354', 'T07941']"
K00982,20,"['T00398', 'T00447', 'T00701', 'T00925', 'T01842', 'T02505', 'T02545', 'T03496', 'T03770', 'T04222', 'T04481', 'T04721', 'T05201', 'T05738', 'T05843', 'T06085', 'T06554', 'T06794', 'T07267', 'T07354']"
K05786,21,"['T00398', 'T00447', 'T00577', 'T00701', 'T00925', 'T02545', 'T03770', 'T03970', 'T04021', 'T04453', 'T04481', 'T05201', 'T05738', 'T05843', 'T06085', 'T06252', 'T06554', 'T06794', 'T07267', 'T07354', 'T08201']"
K00362,9,"['T00398', 'T00447', 'T00925', 'T03770', 'T04721', 'T05201', 'T05738', 'T06554', 'T06794']"
K03782,8,"['T00398', 'T00925', 'T04481', 'T04721', 'T05738', 'T06085', 'T06554', 'T06794']"
K04759,30,"['T00122', 'T00577', 'T00925', 'T00964', 'T00984', 'T01461', 'T01485', 'T01842', 'T02133', 'T02505', 'T03770', 'T03970', 'T04021', 'T04182', 'T04453', 'T05095', 'T05143', 'T05738', 'T06252', 'T06523', 'T06584', 'T06719', 'T07267', 'T07354', 'T07941', 'T07943', 'T08069', 'T08201', 'T08666', 'T08780']"
