a,b,weight
T00398,T00447,83
T00398,T00701,67
T00398,T00925,127
T00398,T02545,85
T00398,T03770,105
T00398,T03970,48
T00398,T04481,126
T00398,T04721,127
T00398,T05201,84
T00398,T05738,128
T00398,T05843,66
T00398,T06085,116
T00398,T06252,47
T00398,T06554,126
T00398,T06794,82
T00398,T07267,58
T00398,T07354,56
T00447,T00701,69
T00447,T00925,81
T00447,T02545,79
T00447,T03770,65
T00447,T03970,39
T00447,T04481,81
T00447,T04721,81
T00447,T05201,87
T00447,T05738,81
T00447,T05843,69
T00447,T06085,74
T00447,T06252,38
T00447,T06554,83
T00447,T06794,77
T00447,T07267,60
T00447,T07354,58
T00701,T00925,65
T00701,T02545,69
T00701,T03770,54
T00701,T03970,35
T00701,T04481,67
T00701,T04721,65
T00701,T05201,70
T00701,T05738,65
T00701,T05843,63
T00701,T06085,60
T00701,T06252,34
T00701,T06554,70
T00701,T06794,66
T00701,T07267,56
T00701,T07354,57
T00925,T02545,83
T00925,T03770,104
T00925,T03970,51
T00925,T04481,125
T00925,T04721,127
T00925,T05201,82
T00925,T05738,127
T00925,T05843,67
T00925,T06085,115
T00925,T06252,50
T00925,T06554,123
T00925,T06794,81
T00925,T07267,58
T00925,T07354,57
T02545,T03770,66
T02545,T03970,37
T02545,T04481,84
T02545,T04721,82
T02545,T05201,78
T02545,T05738,81
T02545,T05843,70
T02545,T06085,78
T02545,T06252,37
T02545,T06554,82
T02545,T06794,81
T02545,T07267,61
T02545,T07354,60
T03770,T03970,45
T03770,T04481,101
T03770,T04721,101
T03770,T05201,66
T03770,T05738,102
T03770,T05843,54
T03770,T06085,96
T03770,T06252,45
T03770,T06554,110
T03770,T06794,62
T03770,T07267,51
T03770,T07354,49
T03970,T04481,48
T03970,T04721,47
T03970,T05201,43
T03970,T05738,48
T03970,T05843,35
T03970,T06085,47
T03970,T06252,65
T03970,T06554,51
T03970,T06794,36
T03970,T07267,35
T03970,T07354,32
T04481,T04721,128
T04481,T05201,81
T04481,T05738,125
T04481,T05843,68
T04481,T06085,114
T04481,T06252,47
T04481,T06554,123
T04481,T06794,79
T04481,T07267,58
T04481,T07354,57
T04721,T05201,80
T04721,T05738,127
T04721,T05843,66
T04721,T06085,113
T04721,T06252,46
T04721,T06554,124
T04721,T06794,80
T04721,T07267,56
T04721,T07354,55
T05201,T05738,80
T05201,T05843,70
T05201,T06085,75
T05201,T06252,42
T05201,T06554,83
T05201,T06794,76
T05201,T07267,61
T05201,T07354,58
T05738,T05843,65
T05738,T06085,113
T05738,T06252,47
T05738,T06554,124
T05738,T06794,81
T05738,T07267,57
T05738,T07354,57
T05843,T06085,59
T05843,T06252,36
T05843,T06554,67
T05843,T06794,67
T05843,T07267,56
T05843,T07354,56
T06085,T06252,46
T06085,T06554,115
T06085,T06794,71
T06085,T07267,56
T06085,T07354,51
T06252,T06554,50
T06252,T06794,35
T06252,T07267,35
T06252,T07354,32
T06554,T06794,81
T06554,T07267,60
T06554,T07354,60
T06794,T07267,60
T06794,T07354,58
T07267,T07354,60
T00398,T00577,44
T00398,T00984,24
T00398,T01485,15
T00398,T04021,43
T00398,T08201,41
T00398,T08780,40
T00447,T00577,28
T00447,T00984,18
T00447,T01485,10
T00447,T04021,25
T00447,T08201,23
T00447,T08780,25
T00577,T00701,27
T00577,T00925,47
T00577,T00984,22
T00577,T01485,14
T00577,T02545,31
T00577,T03770,41
T00577,T03970,29
T00577,T04021,51
T00577,T04481,48
T00577,T04721,45
T00577,T05201,29
T00577,T05738,46
T00577,T05843,30
T00577,T06085,43
T00577,T06252,30
T00577,T06554,46
T00577,T06794,30
T00577,T07267,28
T00577,T07354,26
T00577,T08201,34
T00577,T08780,38
T00701,T00984,15
T00701,T01485,9
T00701,T04021,24
T00701,T08201,24
T00701,T08780,23
T00925,T00984,21
T00925,T01485,13
T00925,T04021,45
T00925,T08201,41
T00925,T08780,40
T00984,T01485,21
T00984,T02545,18
T00984,T03770,29
T00984,T03970,24
T00984,T04021,18
T00984,T04481,23
T00984,T04721,22
T00984,T05201,20
T00984,T05738,21
T00984,T05843,17
T00984,T06085,18
T00984,T06252,24
T00984,T06554,23
T00984,T06794,15
T00984,T07267,19
T00984,T07354,19
T00984,T08201,27
T00984,T08780,17
