a,b,weight
Actinomycetota,Pseudomonadota,30
Actinomycetota,Staphylococcus,9
Pseudomonadota,Staphylococcus,19
Actinomycetes,Pseudomonadota,24
Actinomycetota,Campylobacterales,5
Actinomycetota,T08201,8
Campylobacterales,Pseudomonadota,16
Campylobacterales,Staphylococcus,3
Campylobacterales,T08201,7
Pseudomonadota,T08201,22
Staphylococcus,T08201,1
Actinomycetes,Staphylococcus,1
Bifidobacterium,Gammaproteobacteria,4
Gammaproteobacteria,T00925,1
Gammaproteobacteria,T00398,1
T00398,T05201,1
Mycobacteriales,Pseudomonadota,9
Mycobacteriales,T00447,1
Mycobacteriales,T02545,3
Pseudomonadota,T00447,3
Pseudomonadota,T02545,9
T00447,T02545,2
Bacilli,T00925,1
Bacilli,T05201,1
Bacilli,T06085,1
T00925,T05201,1
T00925,T06085,2
T05201,T06085,1
Actinomycetes,T04453,1
Pseudomonadota,T04453,12
Actinomycetota,Bacilli,10
Bacilli,Campylobacterales,2
Bacilli,Pseudomonadota,15
Comamonadaceae,Gammaproteobacteria,1
T02545,T08201,2
Actinomycetota,T02133,2
Actinomycetota,T06584,5
Bacilli,T02133,2
Bacilli,T06584,2
Pseudomonadota,T02133,4
Pseudomonadota,T06584,7
T02133,T06584,1
Bifidobacterium,T00398,1
Bacilli,T01461,2
Bacilli,T08201,7
Campylobacterales,T01461,3
Pseudomonadota,T01461,9
T01461,T08201,4
Actinomycetota,Eubacteriales,6
Eubacteriales,Pseudomonadota,2
Comamonadaceae,Eubacteriales,1
Bacteroidales,Bifidobacterium,3
Bacteroidales,Campylobacterales,1
Bacteroidales,Coriobacteriia,3
Bacteroidales,Eubacteriales,3
Bacteroidales,T01461,7
Bacteroidales,T08201,3
Bifidobacterium,Coriobacteriia,2
Bifidobacterium,Eubacteriales,5
Bifidobacterium,T01461,8
Coriobacteriia,Eubacteriales,1
Coriobacteriia,T01461,2
Coriobacteriia,T08201,2
Eubacteriales,T01461,5
Eubacteriales,T08201,2
Campylobacterales,T02133,1
Pseudomonadota,T00122,2
Campylobacterales,T02545,2
Campylobacterales,T06584,1
T02133,T08201,1
T02545,T06584,1
T06584,T08201,2
Actinomycetota,Campylobacter,6
Actinomycetota,T00122,1
Bacilli,Campylobacter,5
Bacilli,T00122,1
Campylobacter,Pseudomonadota,10
Campylobacter,T00122,1
Micrococcales,Mycobacteriales,5
Micrococcales,Pseudomonadota,9
Micrococcales,Staphylococcus,2
Mycobacteriales,Staphylococcus,1
Corynebacterium,Micrococcales,4
Campylobacterales,Mycobacteriales,1
Actinomycetota,T04453,10
Actinomycetota,T08780,2
Bacilli,Eubacteriales,2
Bacilli,T04453,4
Bacilli,T08780,1
Eubacteriales,T04453,5
Pseudomonadota,T08780,6
Corynebacterium,Pseudomonadota,1
Corynebacterium,T01461,2
Corynebacterium,T02545,1
T00447,T01461,1
T01461,T02545,1
Actinomycetota,Bacillota,6
Actinomycetota,Bacteroidales,4
Actinomycetota,T01461,7
Bacillota,Bacteroidales,2
Bacillota,T01461,5
Actinomycetota,Bacteroides,1
Actinomycetota,Bifidobacterium,4
Actinomycetota,Gammaproteobacteria,2
Bacillota,Bacteroides,1
Bacillota,Bifidobacterium,1
Bacteroides,Bifidobacterium,2
Bacteroides,T01461,2
Gammaproteobacteria,T01461,1
Bacilli,T00964,2
Coriobacteriia,Gammaproteobacteria,3
Bacteroidales,Campylobacter,2
Bacteroidales,Pseudomonadota,7
Campylobacter,Micrococcales,1
Campylobacter,T01461,1
Campylobacter,T06523,1
Pseudomonadota,T06523,5
T01461,T06523,2
Bacteroidales,T03770,1
Bifidobacterium,T00964,2
Bifidobacterium,T03770,2
Eubacteriales,T00964,2
Eubacteriales,T03770,1
T00964,T01461,2
T01461,T03770,2
Actinomycetes,T08201,2
Pseudomonadota,T04182,4
T04182,T04453,1
T04453,T06584,6
Dorea,T06584,1
Actinomycetes,Bacteroidales,1
Campylobacter,T04453,3
Campylobacter,T08201,3
T04453,T08201,4
Pseudomonadota,T06794,1
Bifidobacterium,Mycobacteriales,2
T00398,T02545,1
T00398,T06085,1
T02545,T06085,2
Campylobacter,Coriobacteriia,2
Actinomycetota,T03770,1
Bacillota,T06085,1
Bifidobacterium,T06085,1
T01461,T06085,1
Actinomycetota,Mycobacteriales,1
Actinomycetota,T00964,3
Actinomycetota,T04115,1
Bifidobacterium,T04115,1
Bifidobacterium,T04453,4
Eubacteriales,Mycobacteriales,1
Eubacteriales,T04115,1
Mycobacteriales,T00964,1
Mycobacteriales,T01461,1
Mycobacteriales,T04115,1
Mycobacteriales,T04453,3
T00964,T04115,1
T00964,T04453,1
T01461,T04115,1
T01461,T04453,6
T04115,T04453,1
Burkholderiales,T06554,2
Campylobacter,Gammaproteobacteria,1
T02133,T04453,1
Bacteroidales,Staphylococcus,1
Pseudomonadota,T04021,1
Pseudomonadota,T05201,1
T04021,T06523,1
Pseudomonadota,T00701,1
Staphylococcus,T06584,1
Staphylococcus,T08780,1
Bacilli,Micrococcales,1
Campylobacter,T06584,1
Coriobacteriia,Micrococcales,1
Coriobacteriia,T04453,2
Coriobacteriia,T06584,2
Bacillota,Pseudomonadota,1
T00447,T04453,1
Actinomycetota,T06719,1
Bacilli,Bacteroidales,1
Pseudomonadota,T06719,2
T01461,T08780,1
T08201,T08780,1
Campylobacterales,T04453,1
Corynebacterium,Gammaproteobacteria,2
Corynebacterium,T06085,1
Gammaproteobacteria,Micrococcales,1
Micrococcales,T06085,1
T03770,T04453,1
T03770,T06584,1
Bacilli,T04182,1
Bacteroidales,Corynebacterium,2
Coriobacteriia,Corynebacterium,2
Coriobacteriia,Lachnospiraceae,1
Campylobacter,Eubacteriales,1
Bacteroidales,T06584,2
Bacteroidales,T04453,1
Bifidobacterium,Corynebacterium,2
Bifidobacterium,T06584,2
Corynebacterium,Eubacteriales,1
Corynebacterium,T04453,1
Corynebacterium,T06584,1
Eubacteriales,T06584,1
T01461,T06584,2
Actinomycetota,Burkholderiales,3
Actinomycetota,T06554,1
Eubacteriales,Gammaproteobacteria,1
Burkholderiales,T08201,1
Pseudomonadota,T00964,1
Bacillota,Burkholderiales,1
