a,b,weight
Actinomycetota,Bacilli,17
Actinomycetota,Pseudomonadota,49
Bacilli,Pseudomonadota,27
Actinomycetes,Pseudomonadota,5
Bifidobacterium,Gammaproteobacteria,6
Gammaproteobacteria,T00925,1
Actinomycetota,Campylobacterales,11
Bacilli,Campylobacterales,10
Campylobacterales,Pseudomonadota,26
T00398,T05201,1
Mycobacteriales,Pseudomonadota,11
Mycobacteriales,T00447,1
Mycobacteriales,T02545,4
Pseudomonadota,T00447,2
Pseudomonadota,T02545,10
T00447,T02545,2
Bacilli,T00925,1
Bacilli,T05201,1
Bacilli,T06085,1
T00925,T05201,1
T00925,T06085,1
T05201,T06085,1
Actinomycetota,T04453,9
Pseudomonadota,T04453,9
Pseudomonadota,T08201,16
T02545,T08201,2
Actinomycetota,Bacillota,8
Actinomycetota,T02133,3
Bacillota,Pseudomonadota,3
Pseudomonadota,T02133,4
Bifidobacterium,T00398,1
Campylobacterales,T08201,6
Actinomycetota,Eubacteriales,4
Eubacteriales,Pseudomonadota,6
Bacilli,Coriobacteriia,1
Bacilli,Eubacteriales,4
Bifidobacterium,Coriobacteriia,2
Bifidobacterium,Eubacteriales,4
Coriobacteriia,Eubacteriales,3
Actinomycetota,T00122,2
Campylobacterales,T00122,2
Campylobacterales,T02133,2
Pseudomonadota,T00122,2
Campylobacterales,T02545,2
Campylobacterales,T06584,2
Pseudomonadota,T06584,6
T02133,T08201,1
T02545,T06584,1
T06584,T08201,2
Bacilli,T00122,1
Bacilli,Micrococcales,2
Bacilli,Mycobacteriales,1
Micrococcales,Mycobacteriales,5
Micrococcales,Pseudomonadota,11
Corynebacterium,Micrococcales,4
Campylobacterales,Mycobacteriales,3
Bacilli,T04453,3
Campylobacterales,Eubacteriales,1
Campylobacterales,T04453,2
Eubacteriales,T04453,5
Corynebacterium,Pseudomonadota,2
Corynebacterium,T01461,1
Corynebacterium,T02545,1
Pseudomonadota,T01461,6
T01461,T02545,1
Actinomycetota,Bacteroidales,6
Actinomycetota,T01461,6
Bacillota,Bacteroidales,2
Bacillota,T01461,6
Bacteroidales,T01461,5
Actinomycetota,Bacteroides,1
Actinomycetota,Bifidobacterium,3
Actinomycetota,Gammaproteobacteria,2
Bacillota,Bacteroides,1
Bacillota,Bifidobacterium,3
Bacteroides,Bifidobacterium,2
Bacteroides,T01461,2
Bifidobacterium,T01461,6
Gammaproteobacteria,T01461,2
Bacilli,T00964,2
Coriobacteriia,Gammaproteobacteria,4
Bifidobacterium,Micrococcales,1
Bifidobacterium,Pseudomonadota,1
Bacteroidales,Campylobacterales,2
Bacteroidales,Pseudomonadota,7
Campylobacterales,Micrococcales,2
Campylobacterales,T01461,1
Campylobacterales,T06523,1
Pseudomonadota,T06523,4
T01461,T06523,1
Bacteroidales,Bifidobacterium,1
Bacteroidales,Eubacteriales,2
Bacteroidales,Gammaproteobacteria,1
Eubacteriales,Gammaproteobacteria,3
Eubacteriales,T01461,2
Actinomycetota,T08201,7
Actinomycetota,T06584,3
Eubacteriales,T06584,3
T04453,T06584,5
Bacilli,Dorea,1
Bacilli,T06584,3
Bacilli,Bacteroides,1
Bacteroides,Pseudomonadota,1
Bifidobacterium,Mycobacteriales,2
Burkholderiales,Gammaproteobacteria,1
T00398,T02545,1
T02545,T06085,1
Campylobacter,Coriobacteriia,1
Campylobacter,T05201,1
Actinomycetota,Lactobacillus,1
Actinomycetota,Mycobacteriales,1
Bacillota,Lactobacillus,1
Bacillota,Mycobacteriales,1
Bacillota,T04453,1
Bifidobacterium,Lactobacillus,1
Bifidobacterium,T04453,3
Lactobacillus,Mycobacteriales,1
Lactobacillus,T01461,1
Lactobacillus,T04453,1
Mycobacteriales,T01461,1
Mycobacteriales,T04453,3
T01461,T04453,4
Bacilli,T02133,1
T02133,T04453,1
Bacilli,Bacteroidales,3
Campylobacter,Pseudomonadota,1
Campylobacter,T06523,1
Pseudomonadota,T00398,1
Pseudomonadota,T05201,1
Bacilli,T08201,5
Pseudomonadota,T00701,1
Campylobacterales,Staphylococcus,1
Pseudomonadota,Staphylococcus,1
Coriobacteriia,Micrococcales,1
Coriobacteriia,T04453,2
Coriobacteriia,T06584,2
Coriobacteriia,T08201,1
T04453,T08201,1
Bacillota,Micrococcales,1
Bacteroidales,T08201,2
Pseudomonadota,T06719,1
T01461,T08201,1
Gammaproteobacteria,T04453,1
Gammaproteobacteria,T06584,2
Bacteroidales,Coriobacteriia,1
Bacteroidales,Corynebacterium,1
Coriobacteriia,Corynebacterium,2
Corynebacterium,Eubacteriales,2
Eubacteriales,T08201,2
Bacteroidales,T06584,1
Bifidobacterium,Corynebacterium,2
Bifidobacterium,T06584,2
Coriobacteriia,T01461,1
Corynebacterium,Gammaproteobacteria,2
Corynebacterium,T06584,1
T01461,T06584,1
Actinomycetota,Burkholderiales,2
Burkholderiales,T08201,1
Actinomycetota,T00964,1
